lang	lang_desc	denom	num	pct100str	pct100	denom_1	num_1	pct100str_1	pct100_1	denom_2	num_2	pct100str_2	pct100_2	denom_3	num_3	pct100str_3	pct100_3	denom_4	num_4	pct100str_4	pct100_4	denom_5	num_5	pct100str_5	pct100_5
io	Ido	2499	1170	46.8	46.8187274909964	503	333	66.2	66.2027833001988	503	233	46.3	46.3220675944334	500	224	44.8	44.8	500	210	42.0	42.0	493	170	34.5	34.48275862068966
my	Burmese	2499	1168	46.7	46.738695478191275	503	321	63.8	63.81709741550696	503	238	47.3	47.31610337972167	500	230	46.0	46.0	500	206	41.2	41.2	493	173	35.1	35.09127789046653
bn	Bengali	2499	1166	46.7	46.658663465386155	503	316	62.8	62.82306163021869	503	243	48.3	48.31013916500994	500	226	45.2	45.2	500	199	39.8	39.8	493	182	36.9	36.91683569979716
sw	Swahili	2499	1153	46.1	46.13845538215286	503	305	60.6	60.636182902584494	503	245	48.7	48.70775347912525	500	230	46.0	46.0	500	204	40.8	40.8	493	169	34.3	34.27991886409736
te	Telugu	2499	1140	45.6	45.61824729891957	503	288	57.3	57.25646123260437	503	237	47.1	47.11729622266402	500	232	46.4	46.4	500	201	40.2	40.2	493	182	36.9	36.91683569979716
ang	Old English	2499	1122	44.9	44.89795918367347	503	342	68.0	67.9920477137177	503	236	46.9	46.91848906560636	500	203	40.6	40.6	500	188	37.6	37.6	493	153	31.0	31.03448275862069
af	Afrikaans	2499	1066	42.7	42.657062825130055	503	282	56.1	56.06361829025845	503	213	42.3	42.34592445328032	500	216	43.2	43.2	500	180	36.0	36.0	493	175	35.5	35.496957403651116
yue	Cantonese	2499	1037	41.5	41.49659863945578	503	294	58.4	58.4493041749503	503	219	43.5	43.538767395626245	500	202	40.4	40.4	500	171	34.2	34.2	493	151	30.6	30.628803245436107
ota	Ottoman Turkish	2499	1035	41.4	41.41656662665066	503	204	40.6	40.55666003976143	503	224	44.5	44.53280318091451	500	211	42.2	42.2	500	214	42.8	42.8	493	182	36.9	36.91683569979716
tk	Turkmen	2499	1020	40.8	40.816326530612244	503	259	51.5	51.491053677932406	503	212	42.1	42.14711729622267	500	215	43.0	43.0	500	177	35.4	35.4	493	157	31.8	31.845841784989858
ast	Asturian	2499	1013	40.5	40.53621448579432	503	298	59.2	59.24453280318092	503	200	39.8	39.761431411530815	500	193	38.6	38.6	500	169	33.8	33.8	493	153	31.0	31.03448275862069
eu	Basque	2499	996	39.9	39.85594237695078	503	273	54.3	54.27435387673956	503	204	40.6	40.55666003976143	500	199	39.8	39.8	500	179	35.8	35.8	493	141	28.6	28.600405679513184
ml	Malayalam	2499	981	39.3	39.25570228091237	503	237	47.1	47.11729622266402	503	209	41.6	41.5506958250497	500	205	41.0	41.0	500	171	34.2	34.2	493	159	32.3	32.251521298174445
kmr	Northern Kurdish	2499	979	39.2	39.17567026810724	503	272	54.1	54.07554671968191	503	190	37.8	37.77335984095428	500	195	39.0	39.0	500	168	33.6	33.6	493	154	31.2	31.23732251521298
ug	Uyghur	2499	969	38.8	38.775510204081634	503	235	46.7	46.71968190854871	503	207	41.2	41.15308151093439	500	204	40.8	40.8	500	172	34.4	34.4	493	151	30.6	30.628803245436107
ba	Bashkir	2499	963	38.5	38.53541416566627	503	287	57.1	57.05765407554672	503	198	39.4	39.363817097415506	500	175	35.0	35.0	500	156	31.2	31.2	493	147	29.8	29.81744421906694
ta	Tamil	2499	940	37.6	37.61504601840736	503	272	54.1	54.07554671968191	503	183	36.4	36.381709741550694	500	183	36.6	36.6	500	161	32.2	32.2	493	141	28.6	28.600405679513184
ckb	Central Kurdish	2499	939	37.6	37.5750300120048	503	257	51.1	51.0934393638171	503	201	40.0	39.96023856858847	500	194	38.8	38.8	500	163	32.6	32.6	493	124	25.2	25.15212981744422
sa	Sanskrit	2499	892	35.7	35.69427771108443	503	252	50.1	50.09940357852883	503	196	39.0	38.9662027833002	500	157	31.4	31.4	500	160	32.0	32.0	493	127	25.8	25.760649087221097
fa-ira	Iranian Persian	2499	891	35.7	35.65426170468187	503	183	36.4	36.381709741550694	503	187	37.2	37.17693836978131	500	198	39.6	39.6	500	171	34.2	34.2	493	152	30.8	30.831643002028397
fo	Faroese	2499	866	34.7	34.65386154461785	503	232	46.1	46.12326043737575	503	173	34.4	34.39363817097416	500	167	33.4	33.4	500	156	31.2	31.2	493	138	28.0	27.99188640973631
ps	Pashto	2499	855	34.2	34.213685474189674	503	219	43.5	43.538767395626245	503	167	33.2	33.20079522862823	500	186	37.2	37.2	500	148	29.6	29.6	493	135	27.4	27.383367139959432
arz	Egyptian Arabic	2499	852	34.1	34.093637454981994	503	292	58.1	58.05168986083499	503	171	34.0	33.99602385685885	500	145	29.0	29.0	500	145	29.0	29.0	493	99	20.1	20.081135902636916
mt	Maltese	2499	845	33.8	33.81352541016407	503	263	52.3	52.286282306163024	503	174	34.6	34.59244532803181	500	144	28.8	28.8	500	141	28.2	28.2	493	123	24.9	24.949290060851926
izh	Ingrian	2499	806	32.3	32.252901160464184	503	222	44.1	44.135188866799204	503	156	31.0	31.013916500994036	500	155	31.0	31.0	500	147	29.4	29.4	493	126	25.6	25.557809330628803
