lang_name1	lang_name2	lang_name3	n_page_w_tr	n_tte_w_tr	n_tte_wo_tr	n_tte_icho_w_tr
Geser-Gorom			3	3	0	3
Geʽez			1	1	0	1
Ghadames			1	1	0	1
Ghari			1	1	0	1
Ghayavi			1	1	0	1
Ghomala'			4	4	0	4
Ghomala'	Ghomala'		1	1	0	
Ghomara			0	0	1	0
Ghotuo			2	2	0	2
Gidar			2	2	0	2
Gikyode			5	5	0	5
Gilaki			36	38	3	38
Gilbertese			87	88	0	88
Gimi (Papuan)			1	1	0	1
Girawa			3	3	0	3
Githabul			1	1	0	1
Gitua			1	1	0	1
Gitxsan			1	1	0	1
Giziga			0	0	1	1
Giziga	North Giziga		1	1	0	
Giziga	South Giziga		1	1	0	
Glavda			1	1	0	1
Gobasi			2	2	0	2
Godoberi			21	21	0	21
Goemai			4	4	0	4
Gofa			1	1	0	1
Gogo			1	1	0	1
Goguryeo			3	3	1	3
Gojri			2	2	0	2
Gokana			1	1	0	1
Gokhy			1	1	0	1
Gola			1	1	0	1
Golin			3	3	1	3
Gondi			19	19	9	20
Gondi	Gunjala		1	1	0	
Gondi	Masaram		1	1	0	
Gondi	Telugu		1	1	0	
Gong			3	3	0	3
Gonja			3	3	0	3
Gooniyandi			27	27	0	27
Gorontalo			46	46	2	46
Gothic			2225	2549	0	2549
Gottscheerish			11	11	0	11
Gourmanchéma			12	15	0	15
Greek			30758	42207	4659	46540
Greek	Aeolic Greek		12	12	0	
Greek	Ancient		8	10	0	
Greek	Ancient (Koine)		1	1	0	
Greek	Ancient Cretan		1	1	0	
Greek	Ancient Greek		10828	13165	84	
Greek	Ancient Greek	Boeotian Greek	1	1	0	
Greek	Ancient Greek	Cypriot	1	1	0	
Greek	Ancient Greek	Doric Greek	1	1	0	
Greek	Byzantine Greek		16	16	1	
Greek	Calabrian Greek		1	1	0	
Greek	Cappadocian Greek		18	18	0	
Greek	Cretan Greek		4	5	0	
Greek	Cypriot Greek		21	23	0	
Greek	Demotic Greek		1	1	0	
Greek	Doric Greek		18	18	0	
Greek	Epic Greek		1	1	0	
Greek	Griko		1	1	0	
Greek	Hellenistic Greek		1	1	0	
Greek	Ionic Greek		7	8	0	
Greek	Italiot Greek		9	10	0	
Greek	Katharevousa		17	22	0	
Greek	Koine Greek		6	6	0	
Greek	Mariupol Greek		19	19	1	
Greek	Medieval Greek		2	2	0	
Greek	Modern		2	2	0	
Greek	Mycenaean Greek		68	76	0	
Greek	Pontic Greek		101	103	1	
Greek	Rhomaic Greek		1	1	0	
Greek	Tsakonian		13	13	0	
Greek	Yevanic		1	1	0	
Greenlandic			1525	1635	40	1634
Grenadian Creole English			3	3	0	3
Gresi			1	1	0	1
Gros Ventre			5	5	0	5
Guahibo			5	5	0	5
Guajajára			9	9	0	9
Guajá			3	3	0	3
Guambiano			2	2	0	2
Guanano			5	5	0	5
Guanche			3	3	0	3
Guarani			1	1	1053	1054
Guarani	Mbya Guarani		193	209	0	
Guarani	Paraguayan Guarani		858	937	1	
Guarani	Paraguayan Guarani	Mbya Guarani	2	2	0	
Guarani	Paraguayan Guarani	Tapieté	1	1	0	
Guarayu			1	1	0	1
Guató			0	0	1	0
Guayabero			3	3	0	3
Guazacapán			1	1	0	1
Gude			1	1	0	1
Gudu			1	1	0	1
Gugubera			1	1	0	1
Guhu-Samane			5	5	1	5
Guianese Creole			27	27	1	27
Guinau			1	1	0	1
Guinea-Bissau Creole			20	21	0	21
Guiqiong			3	3	0	3
Gujarati			3088	3317	205	3320
Gujarati	Ancient		1	1	0	
Gujarati	Ancient Greek		1	1	0	
Gujarati	Old Gujarati		7	7	0	
Gulay			1	1	0	1
Gullah			21	22	2	22
Gumatj			3	3	1	3
Gumawana			1	1	0	1
Gun			18	18	0	18
Gundungurra			0	0	1	0
Gungabula			0	0	1	0
Gungu			6	6	0	6
Guntai			0	0	1	0
Gunu			1	1	0	1
Gunwinggu			7	7	0	7
Gupapuyngu			2	2	0	2
Gur Lama			1	1	0	1
Guragone			1	1	0	1
Gurani			26	26	0	26
Gurgani			1	1	0	1
Gurindji			12	12	0	12
Gurindji Kriol			1	1	0	1
Guro			1	1	0	1
Guruntum			1	1	0	1
Gusii			8	8	0	8
Gusilay			3	3	0	3
Gutnish			19	19	2	21
Gutnish	Old Gutnish		1	2	0	
Guugu Yimidhirr			27	28	2	28
Guwar			1	1	0	1
Guya			0	0	1	0
Guyanese Creole English			9	9	0	9
Gvoko			1	1	0	1
Gwahatike			1	1	0	1
Gwara			1	1	0	1
Gweda			1	1	0	1
Gweno			2	2	0	2
Gwere			7	7	0	7
Gwich'in			20	21	2	21
Gwichʼin			1	1	0	1
Hachijō			2	2	0	2
Hadiyya			4	4	0	4
Hadrami			1	1	0	1
Hadza			35	37	8	37
Haeke			1	1	0	1
Haida			23	23	6	29
Haida	Kaigani		1	1	0	
Haida	Massett		1	1	0	
Haida	Northern Haida		4	5	0	
Haida	Skitegate		1	1	0	
Haida	Southern Haida		3	4	0	
Haisla			2	2	0	2
Haitian Creole			1784	1959	11	1959
Haitian Vodoun Culture Language			1	1	0	1
Haiǁom			1	1	0	1
Hajong			6	6	0	6
Hakka			1	1	0	1
Hakö			2	2	0	2
Halang			1	1	0	1
Halbi			2	2	0	2
Halegannada			1	1	0	1
Halia			3	3	0	3
Halkomelem			54	55	3	58
Halkomelem	Hən̓q̓əmin̓əm̓		1	1	0	
Halkomelem	Vancouver Island		12	12	2	
Hamap			1	1	0	1
Hamer-Banna			41	43	0	43
Hamtai			3	3	0	3
Han			7	7	0	7
Hanga			1	1	0	1
Hani			16	17	1	17
Hanunoo			86	87	0	86
Harari			11	11	2	11
Haroi			1	1	0	1
Harsusi			11	11	1	11
Haruai			1	1	0	1
Haryanvi			33	34	1	33
Hasha			1	1	0	1
Hatam			1	1	0	1
Hattic			2	2	0	2
Hausa			995	1049	64	1049
Havasupai-Walapai-Yavapai			15	16	0	16
Haveke			1	1	0	1
Hawaiian			2204	2663	130	2662
Hawaiian Creole			11	11	0	11
Haya			3	3	0	3
Hdi			2	2	0	2
Hebrew			16315	21082	189	21082
Hebrew	Biblical Hebrew		10	10	0	
Hebrew	Paleo-Hebrew		1	1	0	
Hebrew	Samaritan Hebrew		7	7	0	
Hehe			5	5	0	5
Heiltsuk			3	3	0	3
Hember Avu			1	1	0	1
Herbew			1	1	0	1
Herdé			1	1	0	1
Herero			13	13	3	13
Heyo			1	1	0	1
Hidatsa			22	23	1	23
Higaonon			433	440	0	440
Hiligaynon			522	587	1	587
Hindi			17975	23145	885	23141
Hindi	Old Hindi		1	1	0	
Hindko			0	0	4	4
Hindko	Northern Hindko		2	2	0	
Hindko	Southern Hindko		2	2	0	
Hinukh			26	26	0	26
Hiri Motu			42	44	2	44
Hismaic			1	1	0	1
Hittite			111	116	3	116
Hitu			1	1	0	1
Hiw			2	3	0	3
Hixkaryana			5	6	0	6
Hlai			22	23	0	23
Hmar			1	1	0	1
Hmong			0	0	772	632
Hmong	A-Hmao		10	11	0	
Hmong	Central Huishui Hmong		16	16	0	
Hmong	Chuanqiandian Cluster Miao		3	3	9	
Hmong	Green Hmong		16	19	10	
Hmong	Hmong Don		0	0	1	
Hmong	Hmong Dô		2	2	0	
Hmong	Northern Qiandong Miao		2	2	0	
Hmong	Southern Qiandong Miao		2	2	0	
Hmong	White Hmong		522	613	141	
Ho			4	4	1	4
Hoava			2	2	0	2
Hobyót			4	4	0	4
Holikachuk			5	5	0	5
Honduras Sign Language			0	0	4	0
Hone			1	1	0	1
Hong Kong Sign Language			1	1	1	1
Hopi			136	144	3	144
Horom			1	1	0	1
Hote			3	3	0	3
Hovongan			4	4	0	4
Hoyahoya			2	2	0	2
Hozo			1	1	0	1
Hrangkhol			1	1	0	1
Hruso			1	1	0	1
Hrê			1	1	0	1
Hu			1	1	0	1
Huambisa			5	6	0	6
Huaorani			2	2	0	2
Huarijio			1	1	0	1
Huave			8	8	0	8
Huba			1	1	0	1
Huichol			9	9	0	9
Huitoto			0	0	9	9
Huitoto	Minica Huitoto		3	3	0	
Huitoto	Murui Huitoto		9	9	0	
Huitoto	Nüpode Huitoto		3	3	0	
Hula			1	1	0	1
Huli			2	2	0	2
Hunde			4	4	0	4
Hungarian			35579	51276	635	51271
Hungarian	Latin		1	1	0	
Hungworo			0	0	1	0
Hunsrickisch			1	1	33	34
Hunsrickisch	Boe's orthography		21	29	0	
Hunsrickisch	Wiesemann's		1	1	0	
Hunsrickisch	Wiesemann's orthography		15	23	0	
Hunsrik			515	547	50	547
Hunzib			20	20	1	20
Hupa			7	7	0	7
Hupdë			5	5	0	5
Hurrian			7	8	0	8
Hutterisch			12	12	0	12
Hyam			1	1	0	1
Hän			3	3	1	3
Iaai			5	5	0	5
Iamalele			2	2	0	2
Iatmul			3	4	0	4
Iau			2	2	0	2
Ibaloi			15	15	0	15
Iban			158	163	1	163
Ibanag			55	55	0	55
Ibani			11	11	0	11
Ibatan			4	4	0	4
Iberian			2	2	0	2
Ibibio			6	6	7	6
Ibino			1	1	0	1
Ibuoro			1	1	0	1
Icelandic			15175	18481	237	18477
Icelandic	Northern Kurdish		0	0	1	
Icelandic Sign Language			3	3	0	3
Icelanfic			2	2	0	2
Iceve-Maci			2	2	0	2
Ida'an			12	12	0	12
Idahan			1	1	0	1
Idi			2	2	0	2
Ido			7533	9220	225	9220
Idoma			1	1	0	1
Idu			1	1	0	1
Idun			1	1	0	1
Iduna			1	1	0	1
Ifugao			0	0	41	41
Ifugao	Batad Ifugao		5	5	0	
Ifugao	Mayoyao Ifugao		1	1	0	
Ifugao	Tuwali Ifugao		34	36	0	
Ifè			1	1	0	1
Igala			49	51	4	51
Igbo			345	361	109	361
Igede			1	1	0	1
Ignaciano			2	2	0	2
Ik			2	2	0	2
Ikizu			11	11	0	11
Iko			1	1	0	1
Ikobi-Mena			1	1	0	1
Ikoma			3	3	0	3
Ikpeng			1	1	0	1
Ikposo			1	1	0	1
Ikwere			1	1	0	1
Ila			2	2	0	2
Ili Turki			1	1	0	1
Ili'uun			1	1	0	1
Ilocano			689	747	6	747
Ilocano	Baybayin		1	1	0	
Ilocano	Latin		1	1	0	
Ilokano			1	1	0	1
Ilongot			2	2	0	2
Ilue			1	1	0	1
Imonda			8	8	0	8
Imroing			1	1	0	1
Inabaknon			10	10	0	10
Indo-Portuguese			2	2	0	2
Indonesian			15473	18905	218	18904
Indonesian 			1	1	0	1
Indus Kohistani			1	1	0	1
Ineseño			15	15	0	15
Inga			3	3	0	3
Ingrian			3603	4305	17	4305
Ingush			584	605	4	605
Inor			1	1	0	1
Interlingua			2964	3739	200	3739
Interlingue			0	0	14	0
Interslavic			0	0	4	0
Inuinnaqtun			5	5	0	5
Inuktitut			497	509	33	525
Inuktitut	Canadian syllabics		1	2	0	
Inuktitut	Eastern Canadian Inuktitut		3	3	0	
Inuktitut	Inuttitut		15	15	0	
Inuktitut	Inuvialuk		1	1	0	
Inuktitut	Latin		2	3	0	
Inuktitut	North Baffin		2	2	0	
Inuktitut	South Baffin		4	4	0	
Inuktitut	West Inuktitun		2	2	0	
Inuktun			4	4	0	4
Inupiaq			176	180	6	179
Inuvialuktun			8	8	0	8
Ipai			2	2	0	2
Ipiko			1	1	0	1
Ipulo			2	2	0	2
Iquito			12	13	0	13
Ir			1	1	0	1
Irantxe			1	1	0	1
Iranun			150	150	54	150
Iraqw			9	9	0	9
Irarutu			1	1	0	1
Iraya			2	2	0	2
Irish			22106	28686	151	28759
Irish	Classical Gaelic		1	1	0	
Irish	Middle Irish		74	75	1	
Irish	Old Irish		693	774	1	
Irish	Primitive Irish		8	8	0	
Irula			6	6	0	6
Isan			53	62	99	62
Ishkaimi			1	1	0	1
Ishkashimi			4	4	0	4
Islander Creole English			2	2	0	2
Isnag			79	79	0	79
Isoko			108	111	0	111
Isthmus Zapotec			2	2	0	2
Istriot			351	365	7	365
Istro-Romanian			94	97	5	97
Isubu			3	3	0	3
Italian			51071	69148	1038	69139
Italian	Cyrillic		1	1	0	
Italian	Sicilian		2	2	0	
Italian	Tuscan dialect		1	1	0	
Itallian			1	1	0	1
Italy			1	1	0	1
Itawit			7	7	0	7
Itelmen			33	33	0	33
Itene			1	1	0	1
Itik			1	1	0	1
Itneg			0	0	1	1
Itneg	Binongan Itneg		1	1	0	
Itonama			2	2	0	2
Itsekiri			12	12	0	12
Itu Mbon Uzo			1	1	0	1
Itza'			4	4	0	4
Iu Mien			72	72	1	72
Ivatan			112	116	0	116
Iwaidja			6	6	0	6
Iwam			2	2	0	2
Ixcatec			1	1	0	1
Ixil			2	2	0	2
Iyive			2	2	0	2
Izere			1	1	0	1
Izon			28	28	4	28
Iñupiaq			1	1	0	1
Jabem			2	2	0	2
Jabutí			3	3	0	3
Jah Hut			1	1	0	1
Jahai			2	2	0	2
Jakaltek			5	5	0	5
Jamaican Creole			329	360	2	360
Jamamadí			3	3	0	3
Jaminjung			2	2	0	2
Jamtish			9	9	0	9
Janday			1	1	0	1
Jangkang			4	4	0	4
Jaoanese			1	1	0	1
Japamese			1	1	0	1
Japanese			37301	47816	3243	47815
Japanese	Kansai		1	1	0	
Japanese	Kyushu		1	1	0	
Japanese	Northern Kurdish		0	0	1	
Japanese	Old Japanese		14	15	0	
Japanese Sign Language			2	2	1	2
Japhug			11	11	0	11
Jarai			146	149	0	148
Jarawa			31	33	0	33
Jaru			2	2	0	2
Jassic			1	1	0	1
Javanese			1604	1729	144	1804
Javanese	Carakan		15	17	0	
Javanese	Caribbean Javanese		9	9	0	
Javanese	Central Javanese		1	2	0	
Javanese	Krama		1	1	0	
Javanese	Ngoko		1	1	0	
Javanese	Old Javanese		329	337	0	
Javanese	Rumi		16	18	0	
Javanese	Western Javanese		1	2	0	
Jawe			10	10	0	10
Jebero			3	3	0	3
Jeh			1	1	0	1
Jehai			5	5	0	5
Jeju			346	399	1	399
Jemez			3	3	0	3
Jeri Kuo			1	1	0	1
Jeru			1	1	0	1
Jerung			1	1	0	1
Jewish Babylonian Aramaic			2	2	0	2
Jewish Palestinian Aramaic			1	1	0	1
Jibu			1	1	0	1
Jili			1	1	0	1
Jingpho			132	135	6	135
Jingpo			2	3	1	3
Jingulu			4	4	0	4
Jirajara			1	1	0	1
Jirel			1	1	0	1
Jita			4	4	0	4
Jizhao			1	1	0	1
Jofotek-Bromnya			0	0	1	0
Jola-Fonyi			3	3	0	3
Jowulu			1	1	0	1
Juang			1	1	0	1
Judeo-Italian			62	67	0	67
Judeo-Tat			24	25	2	27
Judeo-Tat	Cyrillic		2	2	0	
Judeo-Tat	Hebrew		2	2	0	
Judeo-Tat	Latin		2	2	0	
Jumaytepeque			1	1	0	1
Jumjum			3	3	0	3
Jumli			1	1	0	1
Jurchen			24	24	0	24
Jurúna			1	1	0	1
Jutiapa			1	1	0	1
Jutish			4	6	0	6
Juǀ'hoan			5	5	0	5
K'ich'e			1	1	0	1
K'iche'			111	119	0	119
Kabardian			2	2	0	2
Kabiye			37	40	2	40
Kabiyé			0	0	1	0
Kabuverdianu			569	699	26	725
Kabuverdianu	ALUPEC		15	15	0	
Kabuverdianu	Badiu		16	16	0	
Kabuverdianu	Barlavento		1	1	0	
Kabuverdianu	Bádiu		1	1	0	
Kabuverdianu	Santiago		2	2	0	
Kabuverdianu	Santo Antão		1	1	0	
Kabuverdianu	Sotavento		1	1	0	
Kabuverdianu	São Vicente		8	8	0	
Kabuverdianu	[[ALUPEC]]		8	8	0	
Kabuverdianu	[[Badiu]]		10	10	0	
Kabuverdianu	[[Fogo]]		1	1	0	
Kabuverdianu	[[Maio]]		1	1	0	
Kabuverdianu	[[Santiago]]		1	1	0	
Kabuverdianu	[[Santo Antão]]		2	2	0	
Kabuverdianu	[[São Nicolau]]		1	1	0	
Kabuverdianu	[[São Vicente]]		9	9	0	
Kabuverdianu (Badiu)			1	1	0	1
Kabwa			15	16	0	16
Kabyle			243	266	4	265
Kachama-Ganjule			1	1	0	1
Kachchi			12	13	0	12
Kadaru			2	2	0	2
Kadazan			0	0	18	18
Kadazan	Coastal Kadazan		17	17	0	
Kadazan	Klias River Kadazan		1	1	0	
Kadazan	Labuk-Kinabatangan Kadazan		1	1	0	
Kadiwéu			3	3	0	3
Kadugli			5	5	0	5
Kaera			2	2	0	2
Kafa			1	1	0	1
Kagayanen			4	4	0	4
Kahe			1	1	0	1
Kahua			1	1	0	1
Kaian			1	1	0	1
Kaidipang			1	1	0	1
Kaiep			2	2	0	2
Kaili			0	0	9	9
Kaili	Da'a Kaili		3	3	0	
Kaili	Ledo Kaili		9	9	0	
Kaili	Unde Kaili		2	2	0	
Kaingang			97	101	6	101
Kairak			0	0	1	0
Kairiru			4	4	0	4
Kaitag			309	343	0	343
Kaiwá			3	3	0	3
Kaiy			1	1	0	1
Kajaman			3	3	0	3
Kakabai			1	1	0	1
Kakabe			2	2	0	2
Kakanda			1	1	0	1
Kaki Ae			7	7	0	7
Kakwa			0	0	1	0
Kala			1	1	0	1
Kala Lagaw Ya			15	16	10	16
Kalabari			1	1	0	1
Kalagan			5	5	4	9
Kalagan	Tagakaulu Kalagan		4	4	0	
Kalami			1	1	0	1
Kalanga			2	2	0	2
Kalapuya			2	2	0	2
Kalasha			42	43	0	43
Kalenjin			137	138	0	138
Kalinago			3	3	0	3
Kalinga			0	0	89	89
Kalinga	Limos Kalinga		18	18	0	
Kalinga	Lubuagan Kalinga		53	54	0	
Kalinga	Southern Kalinga		59	60	0	
Kalinga	Tanudan Kalinga		1	1	0	
Kalkatungu			1	1	0	1
Kallahan			0	0	7	7
Kallahan	Kayapa Kallahan		5	5	0	
Kallahan	Keley-I Kallahan		2	2	0	
Kalmyk			1138	1209	3	1209
Kalmyk	Henan Oirat		1	1	0	
Kalmyk	Northern Kurdish		0	0	1	
Kalmyk	Sart-Kalmyk		1	1	0	
Kalmyk	Written Oirat		18	20	0	
Kaluli			3	3	0	3
Kam			0	0	10	10
Kam	Northern Kam		1	1	0	
Kam	Southern Kam		10	10	0	
Kamakan			1	1	0	1
Kamang			1	1	0	1
Kamano			1	1	0	1
Kamarian			1	1	0	1
Kamas			1	1	0	1
Kamas	Koibal		1	1	0	
Kamasa			1	1	0	1
Kamasau			8	8	0	8
Kamassian			7	7	0	7
Kamassian	Koibal		4	4	0	
Kamayo			1	1	0	1
Kamayurá			4	4	0	4
Kamba			176	176	0	176
Kambaata			25	25	0	25
Kambera			48	48	0	48
Kamkata-vari			0	0	7	7
Kamkata-vari	Kamviri		6	6	0	
Kamkata-vari	Kata-vari		6	6	0	
Kamkata-viri			37	39	4	42
Kamkata-viri	Kamviri		3	3	0	
Kamkata-viri	Kata-vari		2	2	0	
Kamkata-viri	Kativiri		1	1	0	
Kamrupi			1	1	0	1
Kamta			24	27	0	27
Kamtapuri			1	1	0	1
Kamu			1	1	0	1
Kamula			2	2	0	2
Kamwe			2	2	0	2
Kanada			0	0	1	0
Kanakanabu			74	74	2	74
Kanamari			1	1	0	1
Kanauri			1	1	0	1
Kandas			1	1	0	1
Kanga			1	1	0	1
Kangean			1	1	0	1
Kanggape			1	1	0	1
Kangjia			2	2	0	2
Kangri			1	1	0	1
Kaningdon-Nindem			1	1	0	1
Kaninuwa			2	2	0	2
Kankanaey			119	127	1	127
Kannada			2407	2530	165	2530
Kannada	Hayvaka Kannada		1	1	0	
Kannada	Old Kannada		4	4	0	
Kannauji			1	1	0	1
Kanowit			4	4	0	4
Kanoé			3	3	0	3
Kansa			18	18	0	18
Kanufi			2	2	0	2
Kanuri			44	44	5	44
Kanyok			1	1	0	1
Kaonde			3	3	0	3
Kap			2	2	0	2
Kapampanan			1	1	0	1
Kapampangan			1035	1216	4	1218
Kapampangan	Baculud		2	3	0	
Kapampangan	Wawa		2	3	0	
Kapauri			1	1	0	1
Kapingamarangi			3	3	0	3
Kaqchikel			35	38	0	38
Kara (New Guinea)			2	2	0	2
Kara (Tanzania)			1	1	0	1
Karaboro			0	0	1	0
Karaboro	Eastern Karaboro		0	0	1	
Karaboro	Western Karaboro		0	0	1	
Karachay-Balkar			407	420	2	421
Karachay-Balkar	Balkar		1	1	0	
Karachay-Balkar	Karachay		1	1	0	
Karadjeri			1	1	0	1
Karaim			84	84	0	84
Karajá			4	4	0	4
Karakalpak			250	254	8	256
Karakalpak	Cyrillic		3	3	0	
Karakalpak	Latin		2	2	0	
Karakhanid			82	93	0	93
Karamojong			4	5	0	5
Karang			11	11	0	11
Karankawa			1	1	0	1
Karao			16	16	0	16
Karata			5	5	0	5
Karawa			2	2	0	2
Karbi			1	1	0	1
Karekare			12	12	0	12
Karelian			313	325	4	327
Karelian	Livvi		1	1	0	
Karelian	North Karelian		1	1	0	
Karelian	Tver Karelian		2	2	0	
Karen			0	0	155	155
Karen	Pa'o Karen		33	35	0	
Karen	Paku Karen		1	1	0	
Karen	Pwo Karen		1	1	0	
Karen	S'gaw Karen		131	132	0	
Karen	Sgaw Karen		1	1	0	
Kari'na			45	48	0	48
Karian			1	1	0	1
Karipúna Creole French			11	11	0	11
Kariri			2	2	3	5
Kariri	Dzubukuá		3	3	0	
Kariri	Kipeá		1	1	0	
Karitiâna			8	8	0	8
Kariyarra			1	1	0	1
Karnai			1	1	0	1
Karo			2	2	0	2
Karok			52	54	0	54
Kasem			15	17	0	17
Kashmiri			605	710	72	719
Kashmiri	Arabic		4	4	0	
Kashmiri	Devanagari		9	9	0	
Kashmiri	Perso-Arabic		5	5	0	
Kashmiri (Devanagari)			1	1	0	1
Kashmiri (Perso-Arabic)			1	1	0	1
Kashmiri (Sharada)			1	1	0	1
Kashubian			984	1020	31	1020
Kasiguranin			1	1	0	1
Kaska			5	5	0	5
Kaskihá			2	2	0	2
Kassite			2	2	0	2
Kassonke			1	1	0	1
Kasua			2	2	0	2
Kathlamet			2	2	0	2
Katla			2	2	0	2
Kato			3	3	0	3
Katso			1	1	0	1
Katu			0	0	7	7
Katu	Eastern Katu		7	7	0	
Katu	Western Katu		2	2	0	
Katukina			1	1	0	1
Kaulong			1	1	0	1
Kaure			1	1	0	1
Kaurna			94	101	0	101
Kauwera			1	1	0	1
Kavalan			66	66	1	66
Kawacha			1	1	0	1
Kawaiisu			3	3	0	3
Kawishana			1	1	0	1
Kawésqar			4	4	0	4
Kaxararí			2	2	0	2
Kaxuyana			1	1	0	1
Kayabí			3	3	0	3
Kayagar			1	1	0	1
Kayah			0	0	4	4
Kayah	Eastern Kayah		1	1	0	
Kayah	Western Kayah		3	3	0	
Kayan			1	1	2	3
Kayan	Bahau		2	2	0	
Kayan River Kayan			3	3	0	3
Kayapó			16	16	0	16
Kayardild			5	5	0	5
Kayeli			1	1	0	1
Kaytetye			2	2	0	2
Kayupulau			1	1	0	1
Kazakh			10581	11772	203	11801
Kazakh	Arabic		44	49	0	
Kazakh	Cyrillic		27	31	0	
Kazakh	Cyrillic (since 1940)		1	1	0	
Kazakh	Eskı emle (before 1924)		1	1	0	
Kazakh	Jaña emle (since 1924)		1	1	0	
Kazakh	Latin		15	15	0	
Kazakh	Latin (2021 and earlier proposals)		1	1	0	
Kazakh	Ottoman Turkish script		1	1	0	
Keapara			2	2	0	2
Kedang			4	4	0	4
Kei			1	1	0	1
Keiga			2	2	0	2
Kein			1	1	0	1
Kela-Yela			1	1	0	1
Kelabit			6	6	0	6
Kelo			2	2	0	2
Kelon			1	1	0	1
Kemak			2	2	0	2
Kembayan			2	2	0	2
Kemezung			1	1	0	1
Kemtuik			1	1	0	1
Kenaboi			2	2	0	2
Kendayan			2	2	0	2
Kendem			1	1	0	1
Kenga			1	1	0	1
Keninjal			1	1	0	1
Kensiu			3	3	0	3
Kenyang			1	2	0	2
Kenzi			1	1	0	1
Keoru-Ahia			2	2	0	2
Kera			1	1	0	1
Kereho			3	3	0	3
Kerek			1	1	0	1
Keres			0	0	8	6
Keres	Eastern Keres		4	4	2	
Keres	Western Keres		4	4	2	
Kerewe			2	2	0	2
Kerewo			2	2	0	2
Kerinci			2	2	0	2
Kermanic			1	1	0	1
Ket			85	86	0	86
Kewa			1	1	0	1
Khakas			416	440	1	440
Khalaj			40	40	0	40
Khaling			3	3	0	3
Kham			0	0	3	3
Kham	Gamale Kham		1	1	0	
Kham	Sheshi Kham		1	1	0	
Kham	Western Parbate Kham		1	1	0	
Khamnigan Mongol			14	15	0	15
Khamti			2	2	34	2
Khana			1	1	0	1
Khandeshi			1	1	0	1
Khanty			7	7	98	104
Khanty	Eastern Khanty		45	46	2	
Khanty	Northern Khanty		66	69	2	
Khanty	Southern Khanty		1	1	0	
Kharia			1	1	0	1
Khasi			47	48	0	48
Khehek			1	1	0	1
Khengkha			1	1	0	1
Khinalug			50	51	1	51
Khitan			7	7	0	7
Khmer			7474	8804	400	8803
Khmer	Northern Khmer		2	2	9	
Khmer	Old Khmer		1	1	0	
Khmu			12	12	4	12
Khoekhoe			86	86	4	86
Kholosi			1	1	0	1
Khorezmian Turkic			1	1	0	1
Khotanese			5	5	0	5
Khowar			37	37	0	37
Khunsari			1	1	0	1
Khvarshi			18	18	1	18
Khwarezmian			5	5	0	5
Khwe			1	1	0	1
Khün			24	24	21	24
Kiautschou German Pidgin			1	1	0	1
Kibena			2	2	0	2
Kibiri			1	1	0	1
Kichwa			1	1	0	1
Kickapoo			6	6	0	6
Kikai			29	32	1	32
Kikuyu			543	562	4	562
Kildin Sami			1	1	0	1
Kilivila			13	13	0	13
Kiliwa			8	8	0	8
Kilmeri			1	1	0	1
Kimaragang			102	102	1	102
Kimbu			2	2	0	2
Kimbundu			32	32	1	32
Kinalakna			1	1	0	1
Kinaray-a			59	61	0	61
Kinga			3	3	0	3
Kinikinao			2	2	0	2
Kinnauri			1	1	0	1
Kinyarwanda			2	2	0	2
Kioko			1	1	0	1
Kiowa			2	2	0	2
Kipchak			6	6	2	8
Kipchak	Armeno-Kipchak		1	1	0	
Kipchak	Mamluk-Kipchak		1	1	0	
Kipsigis			3	3	0	3
Kiput			7	7	0	7
Kir-Balar			1	1	0	1
Kirfi			1	1	0	1
Kiribati			1	1	0	1
Kirike			9	9	0	9
Kirikiri			2	2	0	2
Kirya			2	2	0	2
Kirya-Konzel			4	4	0	4
Kis			14	14	0	14
Kisar			1	1	0	1
Kisi			2	2	0	2
Kissi			0	0	1	1
Kissi	Northern Kissi		1	1	0	
Kissi	Southern Kissi		1	1	0	
Kisuaheli			1	1	0	1
Kitanemuk			1	1	0	1
Kitembo			6	6	0	6
Kitja			2	2	0	2
Kitsai			1	1	0	1
Kituba			132	133	1	133
Kiwai			0	0	3	3
Kiwai	Northeast Kiwai		3	3	0	
Klallam			20	21	0	21
Klamath-Modoc			72	76	0	76
Klao			1	1	0	1
Knaanic			3	3	0	3
Koalib			1	1	0	1
Koasati			27	27	0	27
Kobol			1	1	0	1
Koch			1	1	0	1
Kodava			7	7	0	7
Kodeoha			1	1	0	1
Kodi			1	1	0	1
Kofei			0	0	1	0
Kofyar			1	1	0	1
Kohin			1	1	0	1
Kohistani Shina			1	1	0	1
Koho			7	7	0	7
Koiari			0	0	3	3
Koiari	Grass Koiari		1	1	0	
Koiari	Mountain Koiari		3	3	0	
Kokborok			9	9	0	9
Koko-Bera			3	3	0	3
Kokoda			1	1	0	1
Kokota			2	2	0	2
Kolami			3	3	3	3
Kolom			1	1	0	1
Koluwawa			1	1	0	1
Kom (Cameroon)			9	9	0	9
Kombio			5	5	0	5
Komering			7	7	0	7
Komi			4	4	601	595
Komi	Komi-Permyak		301	313	12	
Komi	Komi-Permyak	Komi-Yazva	1	1	0	
Komi	Komi-Yazva		9	9	0	
Komi	Komi-Zyrian		399	416	8	
Komi	Komi-Zyrian	Komi-Izhma	1	1	0	
Komi	Komi-Zyryan		1	1	0	
Komi	Old Komi		2	2	0	
Komi-Zyrian			1	1	0	1
Komo			8	8	0	8
